Comment,Designator,Footprint,LCSC
100k,"R5,R7",EasyEDA:R0402,C25741
100nF,"C4,C6,C8",EasyEDA:C0603,C14663
10k,R3,EasyEDA:R0402,C25744
10uF,"C1,C2,C3",EasyEDA:C0805,C15850
1k,"R4,R6",EasyEDA:R0402,C11702
1uF,"C5,C7",EasyEDA:C0402,C52923
210-A-SMD/02,"J2,J3",EasyEDA:CONN-SMD_210-A-SMD-02,C20608465
3V3,TP1,TestPoint:TestPoint_Pad_D1.5mm,
5.1k,"R1,R2",EasyEDA:R0402,C25905
AMS1117-3.3,U3,EasyEDA:SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,C6186
BOOT,SW1,EasyEDA:SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,C318884
ESP32-S3-MINI-1U-N4R2,U1,EasyEDA:BULETM-SMD_ESPRESSIF_ESP32-S3-MINI-1U-N8,C22356044
GND,TP2,TestPoint:TestPoint_Pad_D1.5mm,
MAX98357AETE+T,"U2,U4",EasyEDA:TQFN-16_L3.0-W3.0-P0.50-BL-EP1.5,C910544
PH-6P立贴,J1,EasyEDA:CONN-SMD_6P-P2.0-L14.0-W5.4,C64659
RST,SW2,EasyEDA:SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,C318884
RXD0,TP4,TestPoint:TestPoint_Pad_D1.5mm,
TXD0,TP3,TestPoint:TestPoint_Pad_D1.5mm,
